Per-Second Benchmark Data
Second,SET Requests,SET Average Latency,SET Total Bytes,GET Requests,GET Average Latency,GET Total Bytes,GET Misses, GET Hits,WAIT Requests,WAIT Average Latency
0,248,0.002765,17209,123,0.002465,9824,0,123,0,0.000000
   0.510,36.23
   0.520,37.16
   0.530,37.89
   0.540,38.66
   0.550,39.26
   0.560,39.79
   0.570,40.27
   0.580,40.59
   0.590,40.95
   0.600,41.21
   0.610,41.52
   0.620,41.70
   0.630,41.93
   0.640,42.19
   0.650,42.35
   0.660,42.56
   0.670,42.76
   0.680,42.93
   0.690,43.05
   0.700,43.27
   0.710,43.41
   0.720,43.55
   0.730,43.71
   0.740,43.91
   0.750,44.09
   0.760,44.22
   0.770,44.35
   0.780,44.55
   0.790,44.74
   0.800,44.86
   0.810,45.04
   0.820,45.17
   0.830,45.34
   0.840,45.53
   0.850,45.66
   0.860,45.77
   0.870,45.87
   0.880,46.00
   0.890,46.13
   0.900,46.29
   0.910,46.39
   0.920,46.57
   0.930,46.69
   0.940,46.86
   0.950,46.97
   0.960,47.07
   0.970,47.20
   0.980,47.31
   0.990,47.40
   1.000,48.00
   1.100,48.68
   1.200,49.42
   1.300,50.09
   1.400,50.77
   1.500,51.47
   1.600,52.32
   1.700,53.40
   1.800,54.41
   1.900,55.65
   2.000,56.68
   2.100,57.56
   2.200,58.36
   2.300,59.18
   2.400,60.03
   2.500,60.89
   2.600,61.68
   2.700,62.46
   2.800,63.35
   2.900,64.18
   3.000,65.03
   3.100,65.82
   3.200,66.62
   3.300,67.58
   3.400,68.65
   3.500,69.52
   3.600,70.36
   3.700,71.32
   3.800,72.24
   3.900,73.30
   4.000,74.60
   4.100,75.40
   4.200,76.16
   4.300,77.03
   4.400,77.71
   4.500,78.32
   4.600,78.93
   4.700,79.37
   4.800,79.79
   4.900,80.30
   5.000,80.74
   5.100,81.18
   5.200,81.57
   5.300,81.96
   5.400,82.46
   5.500,82.77
   5.600,83.14
   5.700,83.41
   5.800,83.74
   5.900,84.12
   6.000,84.45
   6.100,84.87
   6.200,85.26
   6.300,85.58
   6.400,85.85
   6.500,86.16
   6.600,86.39
   6.700,86.55
   6.800,86.93
   6.900,87.34
   7.000,87.68
   7.100,88.11
   7.200,88.44
   7.300,88.79
   7.400,89.10
   7.500,89.39
   7.600,89.69
   7.700,90.02
   7.800,90.40
   7.900,90.78
   8.000,91.12
   8.100,91.42
   8.200,91.60
   8.300,91.85
   8.400,92.08
   8.500,92.34
   8.600,92.49
   8.700,92.72
   8.800,92.87
   8.900,93.02
   9.000,93.23
   9.100,93.36
   9.200,93.48
   9.300,93.58
   9.400,93.75
   9.500,93.87
   9.600,94.05
   9.700,94.17
   9.800,94.32
   9.900,94.42
  10.000,95.08
  11.000,96.28
  12.000,97.57
  13.000,98.01
  14.000,98.38
  15.000,98.78
  16.000,99.14
  17.000,99.29
  18.000,99.39
